,0,1,2,3,4,5,6,7,8,9
0,x,x,x,b,o,o,b,x,o,positive
1,x,b,o,b,x,o,b,b,x,positive
2,x,o,o,b,x,b,b,b,x,positive
3,o,x,o,x,b,o,x,x,o,negative
4,x,b,x,o,b,x,o,o,x,positive
5,o,o,o,x,b,x,x,x,o,negative
6,o,b,b,x,x,x,b,b,o,positive
7,x,b,o,x,b,o,x,b,b,positive
8,b,b,x,o,x,o,x,o,x,positive
9,x,b,o,x,b,b,x,o,b,positive
10,b,o,b,x,x,x,b,o,b,positive
11,b,b,o,x,b,o,x,x,o,negative
12,o,x,o,x,x,o,b,x,b,positive
13,o,x,o,b,x,b,o,x,x,positive
14,x,b,x,b,x,o,o,o,x,positive
15,b,b,x,b,o,x,b,o,x,positive
16,b,x,o,x,x,x,b,o,o,positive
17,o,b,b,x,o,x,b,x,o,negative
18,o,x,o,b,o,x,o,x,x,negative
19,x,b,o,x,x,x,b,o,o,positive
20,o,o,x,x,x,x,b,b,o,positive
21,o,b,x,x,o,x,o,x,o,negative
22,b,b,x,b,x,o,x,o,b,positive
23,x,b,b,x,o,x,x,o,o,positive
24,x,x,b,x,o,o,x,o,b,positive
25,o,o,x,b,o,x,x,b,x,positive
26,o,x,x,o,x,o,x,b,b,positive
27,x,x,o,b,o,b,o,b,x,negative
28,o,b,x,b,o,x,b,b,x,positive
29,x,x,x,b,o,b,b,b,o,positive
30,o,x,x,o,x,o,x,o,x,positive
31,o,b,x,o,x,x,o,x,o,negative
32,o,b,x,x,o,x,b,b,o,negative
33,x,x,x,b,o,o,b,o,x,positive
34,x,o,b,x,o,x,b,o,b,negative
35,x,x,x,b,o,x,b,o,o,positive
36,o,b,b,b,o,b,x,x,x,positive
37,x,o,o,b,x,o,b,x,x,positive
38,o,x,x,o,x,b,o,b,b,negative
39,x,b,b,x,o,o,x,b,b,positive
40,b,o,x,x,o,o,x,o,x,negative
41,o,x,o,b,x,x,o,x,b,positive
42,x,x,x,b,x,o,b,o,o,positive
43,o,b,x,b,x,o,x,o,x,positive
44,o,o,o,x,b,x,x,b,b,negative
45,o,x,x,x,o,o,x,b,o,negative
46,o,b,x,x,o,x,o,b,x,positive
47,b,x,x,o,x,o,x,b,o,positive
48,o,b,x,x,x,o,x,b,o,positive
49,o,o,b,o,b,x,x,x,x,positive
50,o,o,b,x,o,x,x,x,o,negative
51,o,x,x,o,o,o,b,x,x,negative
52,x,o,b,x,b,b,x,o,b,positive
53,o,b,x,o,x,o,x,x,b,positive
54,o,x,x,b,b,x,o,o,x,positive
55,o,o,x,x,o,b,x,o,x,negative
56,b,x,o,x,x,x,o,o,b,positive
57,b,x,o,o,x,b,o,x,x,positive
58,b,o,o,o,x,b,x,x,x,positive
59,o,x,x,o,o,x,x,b,o,negative
60,o,x,o,x,x,o,o,x,x,positive
61,o,x,x,o,x,b,x,o,b,positive
62,o,o,x,x,x,x,o,b,b,positive
63,b,x,o,x,o,b,o,x,b,negative
64,x,o,o,b,o,x,o,x,x,negative
65,x,x,o,b,x,o,b,o,x,positive
66,x,o,b,x,o,o,x,b,x,positive
67,x,o,o,b,o,b,x,x,x,positive
68,x,b,o,x,x,o,b,b,o,negative
69,o,x,b,x,x,x,o,b,o,positive
70,b,o,x,b,o,b,x,o,x,negative
71,x,b,o,x,x,o,x,o,b,positive
72,b,x,o,x,b,o,x,b,o,negative
73,x,x,b,o,x,o,o,b,x,positive
74,o,b,b,x,x,x,o,x,o,positive
75,o,o,o,x,x,b,x,x,o,negative
76,o,o,x,x,x,o,x,x,o,positive
77,b,x,b,x,x,b,o,o,o,negative
78,o,x,x,b,o,x,o,x,o,negative
79,x,x,b,x,x,o,o,o,o,negative
80,x,b,o,x,o,o,x,x,b,positive
81,b,o,o,b,o,x,x,x,x,positive
82,b,b,o,x,x,o,x,b,o,negative
83,b,x,o,o,x,b,b,x,b,positive
84,o,o,x,b,x,o,x,x,b,positive
85,o,x,o,x,x,x,b,b,o,positive
86,b,b,x,o,o,o,x,b,x,negative
87,o,x,b,o,b,b,o,x,x,negative
88,o,b,b,x,o,o,x,x,x,positive
89,x,x,o,x,o,o,o,x,b,negative
90,b,b,x,o,x,o,x,x,o,positive
91,o,b,x,o,x,x,x,o,b,positive
92,x,o,b,o,x,o,b,x,x,positive
93,x,b,x,x,o,x,o,o,o,negative
94,o,x,x,x,x,o,o,o,x,negative
95,x,b,o,o,x,o,b,x,x,positive
96,b,o,x,b,x,o,x,b,b,positive
97,o,o,x,x,b,x,b,o,x,positive
98,b,b,b,x,x,x,b,o,o,positive
99,x,o,x,b,x,b,o,o,x,positive
100,x,o,o,o,x,b,b,x,x,positive
101,x,x,x,b,b,o,o,b,b,positive
102,x,o,o,x,x,x,o,b,b,positive
103,x,x,x,x,o,o,x,o,o,positive
104,b,b,o,x,o,x,o,x,b,negative
105,o,x,b,b,o,o,x,x,x,positive
106,b,o,b,b,o,x,x,o,x,negative
107,o,b,x,o,x,b,x,b,b,positive
108,x,o,b,x,x,x,o,b,o,positive
109,x,o,o,x,o,o,x,x,x,positive
110,o,x,x,b,x,o,o,x,b,positive
111,x,o,o,x,b,o,x,x,b,positive
112,o,b,x,b,o,x,b,x,o,negative
113,b,b,x,o,o,x,b,b,x,positive
114,b,x,x,b,b,x,o,o,o,negative
115,x,x,x,b,b,b,o,o,b,positive
116,x,x,o,b,x,o,x,o,o,negative
117,b,x,o,x,o,o,x,x,o,negative
118,o,b,b,x,x,x,o,b,b,positive
119,x,b,o,x,o,b,x,x,o,positive
120,b,b,o,x,x,x,o,o,x,positive
121,b,b,x,b,b,x,o,o,x,positive
122,x,o,o,x,b,o,x,b,x,positive
123,o,b,x,o,x,x,b,o,x,positive
124,x,x,b,o,x,b,o,x,o,positive
125,x,b,x,o,x,o,b,o,x,positive
126,x,b,b,x,o,o,x,x,o,positive
127,o,x,o,o,o,x,x,x,x,positive
128,x,o,x,b,o,b,b,o,x,negative
129,b,x,o,x,x,o,b,b,o,negative
130,b,x,x,b,x,b,o,o,o,negative
131,o,b,x,b,o,o,x,x,x,positive
132,x,o,x,o,o,x,b,b,x,positive
133,o,x,x,o,x,x,x,o,o,positive
134,x,x,b,o,x,o,b,o,x,positive
135,x,b,o,x,x,x,o,o,b,positive
136,o,x,x,x,x,o,o,x,o,positive
137,x,b,b,o,x,o,o,x,x,positive
138,o,b,b,b,o,x,x,x,o,negative
139,x,b,x,x,b,o,x,o,o,positive
140,o,b,o,x,o,x,x,x,o,negative
141,x,b,x,x,x,o,o,o,o,negative
142,o,x,x,o,x,o,x,x,o,positive
143,x,x,b,b,x,o,o,o,x,positive
144,o,b,o,b,x,o,x,x,x,positive
145,x,x,x,o,b,b,x,o,o,positive
146,x,x,x,o,b,o,x,o,b,positive
147,o,x,b,x,o,b,x,b,o,negative
148,x,x,o,b,x,o,b,b,o,negative
149,b,o,b,b,o,b,x,x,x,positive
150,o,o,o,x,b,x,b,b,x,negative
151,b,b,o,x,o,o,x,x,x,positive
152,x,o,x,x,b,x,o,o,o,negative
153,o,x,o,b,x,b,x,x,o,positive
